id_actividad;Nombre_Actividad;Descripcion_Actividad;Responsable_Principal
556;DIAGNOSTICO PARQUE GUACAMAYAS 2 SECTOR ;Actividad de reconocimiento territorial orientada a identificar las condiciones físicas, ambientales y sociales del parque ubicado en Guacamayas 2° sector. El diagnóstico incluye observación de necesidades de mantenimiento, uso del espacio por la comunidad, aspectos de seguridad, y oportunidades para el desarrollo de actividades comunitarias.;JAVIER E VARGAS/ INGRID PINZON
557;DIAGNOSTICO PARQUE BELLO HORIZONTE ;Jornada de observación y análisis realizada en el Parque Bello Horizonte con el objetivo de identificar el estado actual del espacio público, sus condiciones físicas, ambientales y de uso comunitario. Se evalúan aspectos como infraestructura, limpieza, iluminación, seguridad y apropiación del parque por parte de los habitantes, con el fin de orientar futuras acciones de mejora y aprovechamiento por la comunidad.;JAVIER E VARGAS/ INGRID PINZON
558;1 taller elaboración manilla con cauchos ;Una actividad lúdica que fomenta la motricidad fina, la creatividad y el trabajo en equipo, ideal para todas las edades y con potencial para incentivar el emprendimiento artesanal.;DIANA BILBAO 
559;FISIOTERAPIA(SEGUIMIENTO AL PARQUE);Espacio orientado a la promoción de la salud física y la prevención de lesiones mediante ejercicios guiados, estiramientos y recomendaciones posturales. Dirigido especialmente a personas con dolencias musculares, articulares o condiciones crónicas, esta actividad busca mejorar la movilidad, aliviar molestias y fomentar el autocuidado en un entorno accesible y comunitario.;ANA GARCIA
560;ENTRENAMIENTO ESCUELA DE FUTBOL;Espacio de entrenamiento enfocado en el desarrollo técnico, físico y táctico de niños, niñas y jóvenes a través del fútbol. Se promueve el trabajo en equipo, la disciplina y el respeto, fortaleciendo tanto el rendimiento deportivo como los valores comunitarios.;WILLIAM WILCHES ERIKA ACOSTA
561;FISIOTERAPIA;Espacio dirigido a fortalecer la salud física a través de ejercicios guiados, técnicas de estiramiento y educación sobre el cuidado del cuerpo. Este taller busca prevenir dolencias musculares y articulares, mejorar la movilidad y promover el bienestar integral, especialmente en población con trabajos exigentes o condiciones crónicas. Se realiza en un ambiente grupal que favorece la participación activa, el autocuidado y la construcción de redes de apoyo.;ALEJANDRO HERRERA  - ANA RUIZ
562;PLANEACION PARQUES ;Espacio de coordinación orientado a la definición y organización de actividades, talleres y eventos comunitarios que se desarrollarán en los parques;JAVIER E VARGAS/ INGRID PINZON
563;RECORRIDO DIAGNOSTICO PARQUE SANTA ANA;Actividad de reconocimiento territorial realizada en el Parque Santa Ana con el objetivo de identificar su estado actual en términos de infraestructura, seguridad, limpieza y uso comunitario. Este diagnóstico permite levantar información clave para planear futuras intervenciones que mejoren el espacio público y promuevan su apropiación por parte de la comunidad.;ANA GARCIA  -DANILO LOPEZ
564;REUNION CON LIDERES Y JUNTA ;Este es un espacio donde se reúne la Junta de Acción Comunal, algunos líderes de la comunidad y los dinamizadores del área de Territorio Confiable de la Alcaldía Local de San Cristóbal. Durante el encuentro se expone el cronograma de trabajo, se escuchan las necesidades de la comunidad y se busca articular soluciones;YEIMY RODRIGUEZ /KATERIN RODRIGUEZ
565;Perifonero convocatoria para curso ;Se realizará un perifoneo por el barrio convocando y motivando a la comunidad, para que se inscriba y participe de  la oferta de curso que lleva el área de Territorio Confiable al sector. ;MILENA RENGIFO
566;ENTRENAMIENTO MONTAÑA;Actividad física al aire libre que busca mejorar la salud, fortalecer lazos comunitarios y promover el trabajo en equipo. A través del ejercicio en la montaña, se fomenta el bienestar, la integración social y el respeto por la naturaleza.;Erika Acosta 
567;Diagnostico parque el Virrey ;Actividad comunitaria que consiste en un recorrido por el barrio junto a habitantes del sector, líderes locales, integrantes de la JAC y actores del territorio, con el objetivo de identificar problemáticas del espacio público y proponer soluciones conjuntas. Desde el área de Territorio Confiable, se busca articular con entidades del Estado para gestionar respuestas institucionales que atiendan las necesidades detectadas y fortalezcan la calidad de vida en la comunidad.;Yeimmy Rodriguez y Lina Ruiz
568;APOYO PEDAGÓGICO ACTIVIDAD;"Actividad dirigida a niños y niñas menores de 5 años, enfocada en el fomento de valores, el diálogo y el manejo de emociones. A través del juego, la expresión artística y dinámicas pedagógicas, se fortalecen habilidades socioemocionales fundamentales para su desarrollo integral.

";ALEJANDRO HERRERA - ANA GARCIA
569;Taller trapillo;Actividad creativa donde los participantes aprenderán a reutilizar telas para elaborar productos artesanales como bolsos, tapetes y accesorios decorativos. Este taller promueve el reciclaje, el desarrollo de habilidades manuales y brinda herramientas para el emprendimiento sostenible.;DIANA BILBAO - GLORIA BECERRA
570;OBRA DE TÍTERES;Actividad lúdica dirigida a niños y niñas menores de 5 años, que busca fortalecer valores como el respeto, la amistad y la convivencia a través de una presentación divertida y educativa. La obra estimula la imaginación y promueve el aprendizaje temprano en un entorno seguro y participativo.;ANA GARCIA Y DANILO LOPEZ 
571;TALLER  TRAPILLO 1;Espacio de formación creativa donde los participantes aprenden a reutilizar textiles para elaborar productos artesanales como bolsos, tapetes o accesorios. Este taller fomenta el reciclaje, la sostenibilidad y brinda herramientas para el emprendimiento y el aprovechamiento productivo del tiempo libre.;YEIMY RODRIGUEZ /KATERIN RODRIGUEZ
572;ENTRENAMIENTO ESCUELA DE FUTBOL;Espacio de entrenamiento enfocado en el desarrollo técnico, físico y táctico de niños, niñas y jóvenes a través del fútbol. Se promueve el trabajo en equipo, la disciplina y el respeto, fortaleciendo tanto el rendimiento deportivo como los valores comunitarios.;William Willches 
573;ENTRENAMIENTO TIHUAQUE;Recorrido físico en el entorno natural de Tihuaque, orientado a la iniciación deportiva, el fortalecimiento físico y la promoción de hábitos saludables. Dirigido a personas de todas las edades, este espacio busca integrar a la comunidad a través del ejercicio al aire libre y la conexión con la naturaleza.;ERIKA PAOLA ACOSTA
574;DIA DE LA FAMILA;"Evento comunitario que celebra la unión, el respeto y el amor en el entorno familiar. Una jornada llena de música en vivo, rifas y actividades recreativas pensadas para fortalecer los lazos entre vecinos y promover la convivencia en un ambiente alegre y participativo.
";Giovanny Alberto Alfonso Marin 
575;ENTRENAMIENTO BALONCESTO;Espacio deportivo que promueve valores, el cuidado del medio ambiente y el manejo emocional. Fomenta la apropiación de espacios públicos y busca reducir el consumo de sustancias psicoactivas y alcohol en los parques, fortaleciendo la convivencia y el desarrollo integral de los participantes.;ANA GARCIA Y DANILO LOPEZ 
576;Celebracion dia de 20 de Julio; En el marco de la celebración del 20 de Julio, se va a realizar un evento en donde se realizará un  desfile de carros antiguos, Música en vivo desde las 8 am hasta las 7pm.;Giovanny Alberto Alfonso Marin 
577;Reunión semanal de Equipo Territorio Confiable ;Reunión semanal de equipo en donde se organizan acciones de territorio. ;Giovanny Alberto Alfonso Marin 
578;Incripciones ciudadania;Se realizaran las Inscripciones ciudadanía.;Milena Rengifo 
579;Inscripciones ;Invitamos a la comunidad a participar en la jornada de inscripciones para los talleres ofrecidos por el área de Territorio Confiable, orientados al aprovechamiento del tiempo libre, el fortalecimiento del tejido social y la promoción de la independencia económica a través del desarrollo de ideas de emprendimiento.; ALEJANDRO HERRERA- LINA RUIZ
580;Actividad Física;Espacio de encuentro saludable que promueve el movimiento, el autocuidado y el bienestar físico y mental. A través de rutinas guiadas y adaptadas para todo tipo de público, se busca mejorar la calidad de vida, fortalecer la convivencia y crear hábitos saludables en la comunidad.;MARTHA TRIANA - FERNANDO RAMOS 
581;PERIFONEO / DIFUSIÓN DE LOS TALLERES;Acciones orientadas a promover la participación comunitaria en la oferta de talleres del área de Territorio Confiable. Se realiza mediante perifoneo con el fin de informar, motivar e invitar a los habitantes del sector a inscribirse y participar activamente en los espacios formativos y recreativos.;YEIMY RODRIGUEZ /KATERIN RODRIGUEZ
582;Inscripciones ciudadanía;Se realizará las Inscripciones de la ciudadanía a los curso, aclarando dudas y preguntas que tenga del proceso ;Milena Rengifo
583;ATLETISMO BASICO;"
Taller dirigido a personas que desean iniciarse en el atletismo. Se trabajan fundamentos como la carrera, saltos y coordinación, promoviendo la actividad física, la disciplina y la participación comunitaria en un entorno saludable y accesible.";ERIKA PAOLA ACOSTA Y WILLIAM WILCHES
584;INSCRIPCIONES PARQUE SOCIEGO      ;Jornada de inscripciones para talleres y actividades comunitarias orientadas al fortalecimiento del tejido social, el aprovechamiento del tiempo libre y la promoción del bienestar integral. Una oportunidad para que la comunidad acceda a espacios formativos, culturales y recreativos pensados para todas las edades.;ALEJANDRO HERRERA- LINA RUIZ
585;TALLER TRAPILLO  PARTE 4;En esta cuarta sesión, los participantes consolidarán las técnicas aprendidas y avanzarán en la elaboración de piezas más complejas, fortaleciendo su creatividad y habilidades manuales. Además de promover el reciclaje textil, el taller continúa impulsando el emprendimiento y el desarrollo de productos artesanales con valor comercial y personal.;ALEJANDRO HERRERA - LINA RUIZ 
586;FISIOTERAPIA SEGUIMIENTO AL PARQUE;"Espacio orientado a la promoción de la salud física y la prevención de lesiones mediante ejercicios guiados, estiramientos y recomendaciones posturales. Dirigido especialmente a personas con dolencias musculares, articulares o condiciones crónicas, esta actividad busca mejorar la movilidad, aliviar molestias y fomentar el autocuidado en un entorno accesible y comunitario
";ANA GARCIA 
587;TALLER TRAPILLO;técnicas de tejido con trapillo para elaborar productos más complejos y personalizados. Se refuerzan habilidades adquiridas en la primera sesión y se fomenta la creatividad, el emprendimiento y el trabajo colaborativo.;YEIMY RODRIGUEZ /KATERIN RODRIGUEZ
588;PERIFONEO  / DIFUSION DE TALLERES;Acciones orientadas a promover la participación comunitaria en la oferta de talleres del área de Territorio Confiable. Se realiza mediante perifoneo con el fin de informar, motivar e invitar a los habitantes del sector a inscribirse y participar activamente en los espacios formativos y recreativos.;YEIMY RODRIGUEZ /KATERIN RODRIGUEZ
589;ENTRENAMIENTO ATLETISMO;Espacio de formación deportiva enfocado en mejorar la condición física, la técnica y el trabajo en equipo. A través de rutinas de velocidad, resistencia y coordinación, se promueve el desarrollo personal y la integración de la comunidad a través del deporte.;ERIKA PAOLA ACOSTA Y WILLIAM WILCHES
590;ENTRENAMIENTO ESCUELA DE FUTBOL;Espacio de entrenamiento enfocado en el desarrollo técnico, físico y táctico de niños, niñas y jóvenes a través del fútbol. Se promueve el trabajo en equipo, la disciplina y el respeto, fortaleciendo tanto el rendimiento deportivo como los valores comunitarios.;WILLIAM WILCHES y ERIKA ACOSTA
591;Taller de reciclaje;El taller busca fomentar una cultura ecológica y responsable, promoviendo hábitos sostenibles que pueden aplicarse en la vida cotidiana,  los participantes aprenderán a identificar los distintos tipos de desechos, su impacto ambiental y cómo pueden transformarse en nuevos productos útiles. ;Milena Rengifo 
592;ENTRENAMIENTO MONTAÑA;"Actividad física al aire libre que busca mejorar la salud, fortalecer lazos comunitarios y promover el trabajo en equipo. A través del ejercicio en la montaña, se fomenta el bienestar, la integración social y el respeto por la naturaleza.
";Erika Acosta 
593;Bisuteria;Espacio creativo donde los participantes aprenderán a diseñar y elaborar accesorios como collares, pulseras y aretes utilizando diversas técnicas y materiales. Este taller promueve el desarrollo de habilidades manuales, estimula la creatividad y brinda oportunidades para el emprendimiento y la generación de ingresos.;MARTHA TRIANA - FERNANDO RAMOS
594;INSCRIPCION ACTIVIDADES;Se llevará a cabo el proceso de inscripciones en el parque, con el fin de registrar a los participantes interesados en las actividades, talleres y eventos comunitarios programados. Esta jornada busca facilitar el acceso a la oferta institucional, promover la participación ciudadana y fortalecer el vínculo entre la comunidad y el territorio.;JAVIER E VARGAS/ INGRID PINZON
595;Taller elaboración esfero;Espacio creativo en el que los participantes aprenderán técnicas sencillas para decorar esferos utilizando hilos de colores. Una actividad manual que estimula la concentración, la motricidad fina y la creatividad, ideal para todas las edades y con potencial para desarrollar productos personalizados y artesanales.;DIANA BILBAO - GLORIA BECERRA
596;Reunion planeación cronograma de talleres ;Reunión de dupla para planear, organizar y coordinar las próximas acciones en territorio. Este espacio permite definir estrategias, ajustar cronogramas y preparar el desarrollo de actividades comunitarias de manera conjunta y efectiva.;ANA GARCIA  -DANILO LOPEZ
597;Reunión semanal de Equipo ;"Reunión semanal de equipo de trabajo enfocada en la planificación, coordinación y seguimiento de las tareas. Se revisan los avances de la semana anterior, se definen prioridades, se asignan responsabilidades y se establecen plazos para asegurar una ejecución eficiente y alineada con los objetivos del área o proyecto.
";Giovanny Alberto Alfonso Marin 
598;Elaboración de Avena Cubana;Este taller enseña a la comunidad a preparar avena cubana de forma artesanal, brindando herramientas para emprender un negocio local. Los participantes aprenderán tanto la receta tradicional como estrategias básicas para producir y comercializar el producto, impulsando el desarrollo económico en la zona.;Milena Rengifo
599;Taller de reciclaje;Este taller busca fomentar una cultura ecológica y responsable, promoviendo hábitos sostenibles que pueden aplicarse en la vida cotidiana.Los participantes aprenderán a identificar los distintos tipos de desechos, su impacto ambiental y cómo pueden transformarse en nuevos productos útiles. ;Milena Rengifo 
600;TALLER MANEJO DE  EMOCIONES;Espacio formativo y vivencial que busca brindar herramientas prácticas para reconocer, gestionar y expresar las emociones de manera saludable. A través de dinámicas grupales, este taller fortalece la inteligencia emocional, promueve la convivencia y el autocuidado, y contribuye al bienestar mental y social de los participantes.; ALEJANDRO HERRERA-  LINA RUIZ-  LUCELY
601;Actividad Física;"Espacio de encuentro saludable que promueve el movimiento, el autocuidado y el bienestar físico y mental. A través de rutinas guiadas y adaptadas para todo tipo de público, se busca mejorar la calidad de vida, fortalecer la convivencia y crear hábitos saludables en la comunidad.
";MARTHA TRIANA - FERNANDO RAMOS
602;INSCRIPCION ACTIVIDADES SEGUNDA JORNADA;Se llevará a cabo el proceso de inscripciones en el parque, con el fin de registrar a los participantes interesados en las actividades, talleres y eventos comunitarios programados. Esta jornada busca facilitar el acceso a la oferta institucional, promover la participación ciudadana y fortalecer el vínculo entre la comunidad y el territorio.;JAVIER E VARGAS/ INGRID PINZON
603;Taller belleza confiable ;Espacio formativo intensivo en el área de belleza, donde los participantes recibirán capacitación práctica en temas como manicure, corte de cabello, depilación, aplicación de uñas en acrílico y técnicas de decoración de uñas. Este taller busca fortalecer habilidades para el autocuidado y brindar herramientas útiles para el emprendimiento y la generación de ingresos, en un ambiente de confianza, aprendizaje y desarrollo personal.;DIANA BILBAO - GLORIA BECERRA
604;Reunion planeación cronograma de talleres ;Reunión de dupla para planear, organizar y coordinar las próximas acciones en territorio. Este espacio permite definir estrategias, ajustar cronogramas y preparar el desarrollo de actividades comunitarias de manera conjunta y efectiva.;ANA GARCIA Y DANILO LOPEZ
605;INSCRIPCIONES TALLERES ;"
Proceso mediante el cual la comunidad puede registrarse para participar en los diferentes talleres ofrecidos por el área de Territorio Confiable. Esta jornada se realiza en puntos estratégicos del sector, como parques o salones comunales, y tiene como objetivo garantizar la inclusión y participación activa de los habitantes en actividades formativas, recreativas y de fortalecimiento comunitario.";YEIMY RODRIGUEZ /KATERIN RODRIGUEZ
606;TALLER  DE  LIDERAZGO COMUNITARIO  SOCIEGO;Espacio formativo diseñado para fortalecer las habilidades de liderazgo en la comunidad, promoviendo la participación activa, el trabajo en equipo y la construcción de redes solidarias. A través de ejercicios prácticos y reflexivos, los participantes desarrollarán capacidades para guiar procesos comunitarios, resolver conflictos y generar iniciativas colectivas con impacto social.;  ALEJANDRO HERRERA - LINA RUIZ -CARLOS PIÑEROS
607;Taller de belleza confiable;Espacio formativo intensivo en el área de belleza, donde los participantes recibirán capacitación práctica en temas como manicure, corte de cabello, depilación, aplicación de uñas en acrílico y técnicas de decoración de uñas. Este taller busca fortalecer habilidades para el autocuidado y brindar herramientas útiles para el emprendimiento y la generación de ingresos, en un ambiente de confianza, aprendizaje y desarrollo personal.;DIANA BILBAO - GLORIA BECERRA
608;FISIOTERAPIA SEGUIMIENTO AL PARQUE;"Espacio orientado a la promoción de la salud física y la prevención de lesiones mediante ejercicios guiados, estiramientos y recomendaciones posturales. Dirigido especialmente a personas con dolencias musculares, articulares o condiciones crónicas, esta actividad busca mejorar la movilidad, aliviar molestias y fomentar el autocuidado en un entorno accesible y comunitario.
";ANA GARCIA 
609;TALLER TRAPILLO;Espacio creativo y formativo en el que los participantes aprenden a reutilizar textiles para crear productos artesanales como bolsos, tapetes y accesorios. Esta actividad fomenta la conciencia ambiental, el aprovechamiento productivo del tiempo libre y brinda herramientas para el emprendimiento comunitario.;YEIMY RODRIGUEZ /KATERIN RODRIGUEZ
610;TALLER TRAPILLO ;Espacio formativo y manual donde los participantes aprenden a reutilizar materiales textiles para crear artículos como bolsos, tapetes o accesorios decorativos. Este taller promueve la creatividad, el reciclaje y el emprendimiento, fortaleciendo el uso productivo del tiempo libre y el trabajo en comunidad.;YEIMY RODRIGUEZ /KATERIN RODRIGUEZ
611;Taller de reciclaje ;Este taller busca fomentar una cultura ecológica y responsable, promoviendo hábitos sostenibles que pueden aplicarse en la vida cotidiana.Los participantes aprenderán a identificar los distintos tipos de desechos, su impacto ambiental y cómo pueden transformarse en nuevos productos útiles;Milena Rengifo 
612;FISIOTERAPIA     ;Espacio dirigido a fortalecer la salud física a través de ejercicios guiados, técnicas de estiramiento y educación sobre el cuidado del cuerpo. Este taller busca prevenir dolencias musculares y articulares, mejorar la movilidad y promover el bienestar integral, especialmente en población con trabajos exigentes o condiciones crónicas. Se realiza en un ambiente grupal que favorece la participación activa, el autocuidado y la construcción de redes de apoyo.;ALEJANDRO HERRERA - ANA GARCIA 
613;TALLER  TRAPILLO;Espacio creativo donde los participantes aprenderán a reutilizar telas y materiales textiles para crear productos artesanales como bolsos, tapetes y accesorios. Este taller promueve el consumo responsable, el aprovechamiento del tiempo libre y el desarrollo de habilidades que pueden convertirse en oportunidades de emprendimiento;ALEJANDRO HERRERA - LINA RUIZ 
614;Actividad Administrativa – Apoyo en Articulación con el SENA;Gestión administrativa enfocada en el respaldo al proceso de articulación con el SENA para la formación técnica en barbería. Incluye tareas de digitalización, consolidación de documentos e información de los participantes, con el fin de garantizar una inscripción eficiente y el cumplimiento de los requisitos para el desarrollo del programa formativo.;INGRID PINZON 
615;Apoyo Administrativo – Formulación de Elementos para la Ejecución de Actividades del Área de Territorio Confiable;Acciones administrativas orientadas a la planeación, organización y formulación de insumos necesarios para el desarrollo eficiente de las actividades del área de Territorio Confiable.;Giovanny Alberto Alfonso Marin 
616;OBRA DE TITERES;Actividad lúdica dirigida a niños y niñas menores de 5 años, que busca fortalecer valores como el respeto, la amistad y la convivencia a través de una presentación divertida y educativa. La obra estimula la imaginación y promueve el aprendizaje temprano en un entorno seguro y participativo.;ANA GARCIA  -DANILO LOPEZ
617;ENTRENAMIENTO DE FUTBOL;Entrenamiento de fútbol enfocado en promover la apropiación y el disfrute del espacio público como un entorno seguro e inclusivo, fomentando la participación comunitaria, la actividad física, la sostenibilidad ambiental y el respeto por los derechos humanos, fortaleciendo valores y el tejido social;ERIKA ACOSTA Y WILLIAM WILCHES
618;TEATRO TERCER ACTO;Actividad cultural en la que se llevará a la comunidad a presenciar una obra de teatro, con el objetivo de fomentar la apreciación artística, fortalecer la convivencia y el pensamiento crítico. Al finalizar la función, se realizará un coloquio participativo para reflexionar sobre los mensajes, valores y aprendizajes transmitidos en la obra, promoviendo el diálogo y la construcción colectiva de ideas.;ANA GARCIA
619;TALLER DE FISIOTERAPIA;Se realiza articulación con   de la Subred Centro Oriente, la Alcaldía local de San Cristóbal área de Territorio Confiable, para llevar el taller de Fisioterapia y agente de cambio a los adulto del sector, en donde se trabajo mediante una tertulia temas relacionados con la salud mental.;ANA GARCIA-DANILO LOPEZ
620;Taller manualidades ;Actividad orientada a fortalecer la creatividad y la motricidad fina de los participantes mediante la elaboración de piezas artesanales con diversos materiales. Este espacio fomenta la concentración, el ingenio y la valoración del trabajo hecho a mano, promoviendo la integración intergeneracional y el sentido de logro personal, al tiempo que impulsa prácticas sostenibles mediante el uso de elementos reutilizables y reciclados.;DIANA BILBAO- GLORIA BECERRA
621;Taller de Manualidades ;Actividad orientada a fortalecer la creatividad y la motricidad fina de los participantes mediante la elaboración de piezas artesanales con diversos materiales. Este espacio fomenta la concentración, el ingenio y la valoración del trabajo hecho a mano, promoviendo la integración intergeneracional y el sentido de logro personal, al tiempo que impulsa prácticas sostenibles mediante el uso de elementos reutilizables y reciclados.;DIANA BILBAO- GLORIA BECERRA
622;TALLER DE TRAPILLO;Espacio formativo y práctico en el que se enseñan técnicas de tejido con trapillo (tiras de tela reciclada) para la elaboración de bolsos, alfombras, cestos y otros elementos decorativos. Esta actividad promueve la creatividad, la economía circular y el cuidado del medio ambiente, además de fortalecer la motricidad fina, la concentración y el trabajo colaborativo entre los participantes;YEIMY RODRIGUEZ /KATERIN RODRIGUEZ
623;TALLER TRAPILLO;Espacio formativo y práctico en el que se enseñan técnicas de tejido con trapillo (tiras de tela reciclada) para la elaboración de bolsos, alfombras, cestos y otros elementos decorativos. Esta actividad promueve la creatividad, la economía circular y el cuidado del medio ambiente, además de fortalecer la motricidad fina, la concentración y el trabajo colaborativo entre los participantes;YEIMY RODRIGUEZ /KATERIN RODRIGUEZ
624;Taller de Manualidades ;Actividad orientada a fortalecer la creatividad y la motricidad fina de los participantes mediante la elaboración de piezas artesanales con diversos materiales. Este espacio fomenta la concentración, el ingenio y la valoración del trabajo hecho a mano, promoviendo la integración intergeneracional y el sentido de logro personal, al tiempo que impulsa prácticas sostenibles mediante el uso de elementos reutilizables y reciclados.;MILENA RENGIFO-FERNANDO RAMOS
625;SUBIDA A MONSERRATE;Actividad física realizada en terrenos montañosos que combina resistencia, fuerza y técnica. Mejora el rendimiento cardiovascular, la capacidad pulmonar y la adaptación a diferentes altitudes y condiciones del terreno. Ideal para preparación física intensa y contacto con la naturaleza.;ERIKA ACOSTA
626;TALLER DE MANUALIDADES;Actividad creativa diseñada para que los participantes desarrollen habilidades artísticas y destrezas motrices a través de la elaboración de piezas decorativas y utilitarias. Se promoverá el uso de materiales reciclables y técnicas sencillas que estimulen la imaginación, la expresión personal y la conciencia ambiental, fortaleciendo a la vez la integración comunitaria y el trabajo colaborativo;ANA GARCIA-DANILO LOPEZ
627;CIERRE DE ACTIVIDADES ;Actividad especial que marca la culminación del ciclo de talleres, jornadas deportivas, culturales y recreativas desarrolladas con la comunidad. Este evento busca reconocer y celebrar la participación de los asistentes, presentar los logros alcanzados, compartir muestras artísticas y culturales, y generar un espacio de integración entre líderes, instituciones y habitantes del sector. Se convierte en una oportunidad para fortalecer el compromiso comunitario y proyectar nuevas acciones que den continuidad a los procesos de Territorio Confiable.;JAVIER E VARGAS/ INGRID PINZON
628;REUNION DE EQUIPO;Actividad de un equipo se reúnen para compartir avances, alinear objetivos, resolver dudas y coordinar tareas, fomentando la colaboración y la comunicación efectiva.;GIOVANNY ALBERTO ALFONSO MARIN 
629;RUMBA AEROBICA;Jornada de rumba aeróbica para promover el uso y disfrute del espacio público como un entorno seguro e inclusivo, incentivando la actividad física, la integración comunitaria, la sostenibilidad ambiental y el fortalecimiento de valores para el bienestar colectivo;ERIKA ACOSTA Y WILLIAM WILCHES
630;ENTRENAMIENTO DE FUTBOL;Entrenamiento de fútbol enfocado en promover la apropiación y el disfrute del espacio público como un entorno seguro e inclusivo, fomentando la participación comunitaria, la actividad física, la sostenibilidad ambiental y el respeto por los derechos humanos, fortaleciendo valores y el tejido social;ERIKA PAOLA ACOSTA Y WILLIAM WILCHES
631;ENTRENAMIENTO NOCTURNO ATLETISMO;Entrenamiento nocturno de atletismo orientado a promover el uso seguro e inclusivo del espacio público, incentivando la actividad física, la integración comunitaria y el fortalecimiento del bienestar colectivo;ERIKA ACOSTA
632;TALLER DE EMPRENDIMIENTO MANUAL;Espacio formativo y práctico en el que la comunidad aprenderá técnicas artesanales y creativas que puedan convertirse en oportunidades de negocio. Se trabajará en la elaboración de productos manuales con enfoque en sostenibilidad y aprovechamiento de recursos, fomentando la creatividad, la autogestión económica y el trabajo en equipo, como herramientas para fortalecer las capacidades productivas y el desarrollo local;ANA GARCIA-DANILO LOPEZ
633;Parque Las Mercedes;Actividad comunitaria que brinda a las y los participantes conocimientos básicos y prácticos en cuidado personal, peinados, maquillaje y presentación, con enfoque en autoestima, respeto y empoderamiento. Este espacio fomenta la integración social, la creación de redes solidarias y la posibilidad de generar ingresos a través de servicios de belleza, articulando con líderes locales y entidades que impulsan el desarrollo personal y laboral de la comunidad.;DIANA BILBAO- GLORIA BECERRA
634;TALLER TRAPILLO;Espacio formativo y práctico en el que se enseñan técnicas de tejido con trapillo (tiras de tela reciclada) para la elaboración de bolsos, alfombras, cestos y otros elementos decorativos. Esta actividad promueve la creatividad, la economía circular y el cuidado del medio ambiente, además de fortalecer la motricidad fina, la concentración y el trabajo colaborativo entre los participantes.;YEIMY RODRIGUEZ /KATERIN RODRIGUEZ
635;TALLERES DE MANUALIDADES;Actividad orientada a fortalecer la creatividad y la motricidad fina de los participantes mediante la elaboración de piezas artesanales con diversos materiales. Este espacio fomenta la concentración, el ingenio y la valoración del trabajo hecho a mano, promoviendo la integración intergeneracional y el sentido de logro personal, al tiempo que impulsa prácticas sostenibles mediante el uso de elementos reutilizables y reciclados.;JAVIER E VARGAS/ INGRID PINZON
636;ATLETISMO BASICO;Sesión de atletismo básico para incentivar la actividad física, la integración comunitaria y el uso seguro e inclusivo del espacio público, fortaleciendo hábitos saludables y el bienestar colectivo.;ERIKA ACOSTA Y WILLIAM WILCHES
637;FISIOTERAPIA Y AGENTE DE CAMBIO;"Se realiza articulacion con   de la Subred Centro Oriente, la Alcaldia local de San Cristobal área de Territorio Confiable, para llevar el taller de Fisioterapia y agente de cambio a los adulo del sector, en donde se trabajo mediante una tertulia la depresión.
";ANA GARCIA-DANILO LOPEZ
638;taller de belleza confiable;Actividad comunitaria que brinda a las y los participantes conocimientos básicos y prácticos en cuidado personal, peinados, maquillaje y presentación, con enfoque en autoestima, respeto y empoderamiento. Este espacio fomenta la integración social, la creación de redes solidarias y la posibilidad de generar ingresos a través de servicios de belleza, articulando con líderes locales y entidades que impulsan el desarrollo personal y laboral de la comunidad.;DIANA BILBAO- GLORIA BECERRA
639;APOYO PEDAGOGICO NIÑOS Y NIÑAS;"Se realizó articulación con la Subred Centro Oriente y la Alcaldía Local de San Cristóbal, mediante el área de Territorio Confiable, para implementar el Apoyo Pedagógico a niños y niñas del sector; la intervención incluyó actividades lúdico-pedagógicas, refuerzo en competencias básicas y acompañamiento psicoeducativo, con el fin de fortalecer los procesos de aprendizaje, promover la permanencia escolar y contribuir al bienestar integral de las familias.";ANA GARCIA-DANILO LOPEZ
640;FISIOTERAPIA;Se realiza articulación con   de la Subred Centro Oriente, la Alcaldía local de San Cristóbal área de Territorio Confiable, para llevar el taller de Fisioterapia y agente de cambio a los adulto del sector, en donde se trabajo mediante una tertulia temas relacionados con la salud mental.;LINA RUIZ - ALEJANDRO HERRERA
641;ENTRENAMIENTO DE FUTBOL;"Entrenamiento de fútbol enfocado en promover la apropiación y el disfrute del espacio público como un entorno seguro e inclusivo, fomentando la participación comunitaria, la actividad física, la sostenibilidad ambiental y el respeto por los derechos humanos, fortaleciendo valores y el tejido social
";ERIKA ACOSTA Y WILLIAM WILCHES
642;FISIOTERAPIA Y AGENTE DE CAMBIO;Se realiza articulación con  de la Subred Centro Oriente, la Alcaldía local de San Cristóbal área de Territorio Confiable, para llevar el taller de Fisioterapia y agente de cambio a los adulto del sector, en donde se trabajo mediante una tertulia temas relacionados con la salud mental.;ANA GARCIA-DANILO LOPEZ
643;Taller de Manualidades;Actividad orientada a fortalecer la creatividad y la motricidad fina de los participantes mediante la elaboración de piezas artesanales con diversos materiales. Este espacio fomenta la concentración, el ingenio y la valoración del trabajo hecho a mano, promoviendo la integración intergeneracional y el sentido de logro personal, al tiempo que impulsa prácticas sostenibles mediante el uso de elementos reutilizables y reciclados.;MILENA RENGIFO-FERNANDO RAMOS
